iter	Passed	Remaining
296	2903	6872
297	2913	6863
298	2920	6848
299	2929	6836
300	2937	6821
301	2945	6808
302	2953	6792
303	2961	6779
304	2968	6765
305	2977	6752
306	2984	6737
307	2993	6725
308	3001	6711
309	3009	6699
310	3017	6684
311	3026	6672
312	3033	6658
313	3043	6648
314	3050	6634
315	3059	6623
316	3068	6610
317	3079	6604
318	3090	6596
319	3100	6589
320	3115	6589
321	3128	6587
322	3141	6585
323	3151	6574
324	3165	6574
325	3179	6572
326	3192	6570
327	3201	6559
328	3214	6556
329	3229	6557
330	3242	6553
331	3253	6547
332	3264	6539
333	3277	6535
334	3290	6531
335	3299	6520
336	3313	6518
337	3327	6517
338	3341	6515
339	3350	6503
340	3359	6492
341	3368	6481
342	3377	6468
343	3388	6461
344	3396	6447
345	3406	6437
346	3413	6423
347	3422	6412
348	3430	6398
349	3439	6387
350	3447	6374
351	3456	6362
352	3463	6348
353	3471	6335
354	3479	6321
355	3488	6309
356	3495	6295
357	3504	6284
358	3511	6270
359	3520	6258
360	3527	6244
361	3537	6234
362	3545	6220
363	3553	6209
364	3561	6195
365	3569	6183
366	3577	6169
367	3585	6157
368	3592	6143
369	3601	6132
370	3609	6119
371	3617	6107
372	3625	6093
373	3633	6081
374	3640	6067
375	3648	6055
376	3655	6041
377	3664	6029
378	3671	6015
379	3679	6003
380	3687	5990
381	3695	5978
382	3703	5965
383	3711	5954
384	3719	5940
385	3726	5928
386	3735	5916
387	3744	5905
388	3751	5893
389	3760	5881
390	3768	5869
391	3776	5856
392	3784	5844
393	3792	5833
394	3800	5820
395	3808	5808
396	3815	5795
397	3822	5782
398	3830	5770
399	3837	5756
400	3845	5744
401	3853	5731
402	3861	5720
403	3868	5707
404	3877	5696
405	3884	5683
406	3893	5672
407	3900	5659
408	3909	5648
409	3916	5636
410	3924	5624
411	3932	5611
412	3940	5600
413	3947	5588
414	3955	5576
415	3963	5563
416	3971	5552
417	3979	5540
418	3988	5530
419	3996	5518
420	4004	5507
421	4012	5495
422	4019	5483
423	4027	5470
424	4034	5458
425	4042	5446
426	4049	5434
427	4057	5422
428	4065	5410
429	4073	5399
430	4080	5386
431	4087	5374
432	4095	5362
433	4104	5352
434	4111	5339
435	4119	5328
436	4126	5316
437	4135	5306
438	4144	5295
439	4154	5287
440	4163	5277
441	4173	5268
442	4182	5258
443	4191	5248
444	4199	5237
445	4208	5227
446	4216	5216
447	4224	5205
448	4233	5195
449	4241	5184
450	4256	5181
451	4266	5173
452	4276	5163
453	4290	5160
454	4301	5152
455	4317	5150
456	4327	5141
457	4340	5136
458	4354	5132
459	4365	5124
460	4377	5117
461	4390	5112
462	4402	5106
463	4410	5094
464	4421	5087
465	4433	5080
466	4443	5071
467	4456	5065
468	4468	5059
469	4479	5051
470	4489	5042
471	4504	5038
472	4516	5032
473	4526	5023
474	4537	5014
475	4550	5009
476	4562	5002
477	4573	4994
478	4586	4988
479	4600	4983
480	4612	4977
481	4622	4967
482	4635	4961
483	4649	4956
484	4657	4945
485	4670	4939
486	4683	4933
487	4695	4926
488	4705	4917
489	4718	4911
490	4731	4905
491	4745	4900
492	4756	4891
493	4767	4882
494	4781	4877
495	4793	4871
496	4801	4859
497	4814	4853
498	4827	4846
499	4835	4835
500	4847	4827
501	4857	4818
502	4865	4807
503	4878	4800
504	4886	4790
505	4896	4780
506	4905	4770
507	4913	4758
508	4922	4748
509	4931	4737
510	4942	4729
511	4949	4717
512	4958	4707
513	4965	4695
514	4974	4684
515	4982	4673
516	4990	4662
517	4998	4650
518	5006	4640
519	5014	4628
520	5023	4618
521	5030	4606
522	5038	4595
523	5046	4583
524	5055	4573
525	5062	4561
526	5070	4551
527	5078	4539
528	5086	4528
529	5093	4517
530	5101	4506
531	5109	4494
532	5117	4483
533	5125	4472
534	5132	4460
535	5139	4449
536	5147	4438
537	5156	4428
538	5163	4416
539	5171	4405
540	5179	4394
541	5186	4383
542	5195	4372
543	5203	4362
544	5211	4350
545	5219	4339
546	5226	4328
547	5234	4317
548	5242	4306
549	5250	4295
550	5257	4284
551	5265	4273
552	5273	4262
553	5282	4252
554	5289	4240
555	5297	4230
556	5304	4218
557	5311	4207
558	5319	4196
559	5326	4185
560	5334	4174
561	5342	4163
562	5350	4153
563	5358	4142
564	5366	4131
565	5373	4120
566	5381	4109
567	5389	4098
568	5397	4088
569	5404	4077
570	5413	4067
571	5420	4056
572	5429	4045
573	5436	4034
574	5446	4025
575	5453	4014
576	5461	4003
577	5469	3993
578	5477	3982
579	5484	3971
580	5492	3960
581	5500	3950
582	5508	3940
583	5516	3929
584	5524	3919
585	5534	3910
586	5542	3899
587	5550	3888
588	5558	3878
589	5566	3868
590	5574	3857
591	5582	3847
592	5590	3836
593	5597	3826
594	5605	3815
595	5613	3805
596	5620	3794
597	5628	3783
598	5636	3773
599	5644	3762
600	5652	3752
601	5661	3742
602	5670	3732
603	5678	3722
604	5685	3711
605	5693	3701
606	5701	3691
607	5710	3681
608	5718	3671
609	5728	3662
610	5735	3651
611	5744	3641
612	5751	3631
613	5759	3620
614	5766	3610
615	5775	3600
616	5783	3589
617	5791	3579
618	5798	3569
619	5807	3559
620	5814	3548
621	5822	3538
622	5830	3528
623	5838	3518
624	5846	3507
625	5854	3497
626	5862	3487
627	5870	3477
628	5877	3466
629	5885	3456
630	5892	3445
631	5900	3435
632	5907	3425
633	5914	3414
634	5922	3404
635	5930	3394
636	5938	3384
637	5945	3373
638	5954	3363
639	5961	3353
640	5969	3343
641	5977	3333
642	5985	3323
643	5993	3313
644	6002	3303
645	6009	3293
646	6017	3283
647	6025	3272
648	6033	3262
649	6040	3252
650	6048	3242
651	6055	3232
652	6064	3222
653	6072	3212
654	6080	3202
655	6087	3192
656	6095	3182
657	6103	3172
658	6110	3162
659	6118	3152
660	6126	3141
661	6134	3132
662	6141	3121
663	6150	3112
664	6157	3102
665	6167	3092
666	6177	3084
667	6186	3074
668	6195	3065
669	6205	3056
670	6214	3047
671	6222	3037
672	6231	3027
673	6238	3017
674	6247	3007
675	6254	2997
676	6263	2988
677	6271	2978
678	6280	2968
679	6287	2958
680	6296	2949
681	6303	2939
682	6312	2929
683	6320	2920
684	6329	2910
685	6337	2900
686	6345	2891
687	6353	2881
688	6361	2871
689	6369	2861
690	6378	2852
691	6386	2842
692	6394	2832
693	6402	2823
694	6411	2813
695	6418	2803
696	6427	2794
697	6435	2784
698	6445	2775
699	6452	2765
700	6461	2755
701	6469	2746
702	6477	2736
703	6485	2726
704	6494	2717
705	6501	2707
706	6513	2699
707	6520	2689
708	6528	2679
709	6536	2669
710	6544	2660
711	6551	2650
712	6560	2640
713	6568	2630
714	6577	2621
715	6585	2612
716	6593	2602
717	6601	2592
718	6610	2583
719	6617	2573
720	6625	2564
721	6633	2554
722	6641	2544
723	6649	2534
724	6657	2525
725	6665	2515
726	6673	2506
727	6682	2496
728	6690	2487
729	6698	2477
730	6708	2468
731	6716	2459
732	6725	2449
733	6733	2440
734	6742	2430
735	6751	2421
736	6759	2412
737	6768	2403
738	6778	2393
739	6786	2384
740	6794	2374
741	6802	2365
742	6809	2355
743	6818	2346
744	6826	2336
745	6834	2327
746	6842	2317
747	6851	2308
748	6858	2298
749	6868	2289
750	6876	2279
751	6884	2270
752	6892	2260
753	6900	2251
754	6908	2241
755	6917	2232
756	6924	2222
757	6933	2213
758	6940	2203
759	6949	2194
760	6957	2185
761	6965	2175
762	6973	2166
763	6981	2156
764	6989	2147
765	7000	2138
766	7014	2130
767	7025	2122
768	7037	2113
769	7048	2105
770	7056	2095
771	7065	2086
772	7072	2077
773	7081	2067
774	7091	2058
775	7103	2050
776	7114	2041
777	7123	2032
778	7133	2023
779	7144	2015
780	7153	2006
781	7164	1997
782	7175	1988
783	7185	1979
784	7196	1971
785	7207	1962
786	7218	1953
787	7230	1945
788	7240	1936
789	7251	1927
790	7266	1920
791	7282	1912
792	7298	1905
793	7313	1897
794	7327	1889
795	7344	1882
796	7361	1875
797	7376	1867
798	7394	1860
799	7405	1851
800	7419	1843
801	7431	1834
802	7446	1826
803	7462	1819
804	7480	1811
805	7495	1804
806	7508	1795
807	7536	1790
808	7566	1786
809	7584	1779
810	7598	1770
811	7611	1762
812	7627	1754
813	7643	1746
814	7658	1738
815	7676	1730
816	7690	1722
817	7703	1713
818	7715	1705
819	7728	1696
820	7743	1688
821	7760	1680
822	7775	1672
823	7790	1663
824	7804	1655
825	7818	1647
826	7829	1637
827	7844	1629
828	7860	1621
829	7873	1612
830	7890	1604
831	7905	1596
832	7921	1588
833	7937	1579
834	7951	1571
835	7962	1562
836	7975	1553
837	7990	1544
838	8004	1536
839	8021	1527
840	8037	1519
841	8052	1510
842	8064	1501
843	8075	1492
844	8089	1483
845	8104	1475
846	8122	1467
847	8136	1458
848	8152	1449
849	8168	1441
850	8184	1432
851	8197	1423
852	8207	1414
853	8221	1405
854	8235	1396
855	8249	1387
856	8263	1378
857	8274	1369
858	8285	1360
859	8299	1351
860	8314	1342
861	8324	1332
862	8336	1323
863	8350	1314
864	8364	1305
865	8377	1296
866	8388	1286
867	8400	1277
868	8415	1268
869	8430	1259
870	8444	1250
871	8453	1240
872	8466	1231
873	8480	1222
874	8491	1213
875	8501	1203
876	8513	1193
877	8526	1184
878	8535	1174
879	8547	1165
880	8560	1156
881	8569	1146
882	8581	1137
883	8596	1128
884	8610	1118
885	8619	1109
886	8630	1099
887	8643	1090
888	8656	1080
889	8665	1071
890	8678	1061
891	8691	1052
892	8700	1042
893	8726	1034
894	8740	1025
895	8749	1015
896	8761	1006
897	8774	996
898	8782	986
899	8793	977
900	8805	967
901	8814	957
902	8825	948
903	8839	938
904	8849	928
905	8859	919
906	8872	909
907	8883	900
908	8894	890
909	8907	880
910	8918	871
911	8927	861
912	8941	852
913	8954	842
914	8969	833
915	8978	823
916	8990	813
917	9006	804
918	9019	795
919	9029	785
920	9040	775
921	9054	765
922	9069	756
923	9082	747
924	9092	737
925	9104	727
926	9118	718
927	9130	708
928	9140	698
929	9153	688
930	9166	679
931	9177	669
932	9187	659
933	9199	650
934	9208	640
935	9219	630
936	9231	620
937	9240	610
938	9251	600
939	9263	591
940	9271	581
941	9282	571
942	9290	561
943	9300	551
944	9312	541
945	9320	532
946	9332	522
947	9342	512
948	9352	502
949	9362	492
950	9371	482
951	9382	473
952	9391	463
953	9399	453
954	9408	443
955	9417	433
956	9426	423
957	9435	413
958	9444	403
959	9453	393
960	9462	384
961	9471	374
962	9481	364
963	9494	354
964	9502	344
965	9511	334
966	9518	324
967	9528	314
968	9536	305
969	9544	295
970	9552	285
971	9562	275
972	9572	265
973	9581	255
974	9591	245
975	9599	236
976	9609	226
977	9618	216
978	9628	206
979	9638	196
980	9647	186
981	9658	177
982	9667	167
983	9677	157
984	9687	147
985	9697	137
986	9707	127
987	9715	118
988	9725	108
989	9734	98
990	9743	88
991	9753	78
992	9762	68
993	9771	58
994	9779	49
995	9788	39
996	9797	29
997	9806	19
998	9816	9
999	9825	0
